Release Order (oldestâ†’newest),Pages Version,App External ID,App Item ID,Notes / Source
1,,3235485,409201541,Seed App External ID provided by API
2,,3911467,409201541,Seed App External ID provided by API
3,,9465286,409201541,Seed App External ID provided by API
4,,12013122,409201541,Seed App External ID provided by API
5,5.0,82284425,409201541,Crash log: https://forums.macrumors.com/threads/iwork-apps-crash-after-opening-all-of-em.1659151/
6,5.0.1,151482632,409201541,Crash log: https://www.apfeltalk.de/community/threads/pages-5-0-1-stuerzt-regelmaessig-ab-unter-mavericks.453240/post-4245850
7,5.1,289042884,409201541,Crash log: https://discussions.apple.com/thread/5915328
8,,458872631,409201541,Seed App External ID provided by API
9,,501232653,409201541,Seed App External ID provided by API
10,,662933457,409201541,Seed App External ID provided by API
11,,715442731,409201541,Seed App External ID provided by API
12,,765762711,409201541,Seed App External ID provided by API
13,,811382078,409201541,Seed App External ID provided by API
14,,812173400,409201541,Seed App External ID provided by API
15,,813474430,409201541,Seed App External ID provided by API
16,,814208633,409201541,Seed App External ID provided by API
17,,816483004,409201541,Seed App External ID provided by API
18,,818608600,409201541,Seed App External ID provided by API
19,,818986804,409201541,Seed App External ID provided by API
20,,819518022,409201541,Seed App External ID provided by API
21,,821515996,409201541,Seed App External ID provided by API
22,,821907038,409201541,Seed App External ID provided by API
23,,822195979,409201541,Seed App External ID provided by API
24,,822541153,409201541,Seed App External ID provided by API
25,,822916831,409201541,Seed App External ID provided by API
26,,823218186,409201541,Seed App External ID provided by API
27,,823499039,409201541,Seed App External ID provided by API
28,,823762869,409201541,Seed App External ID provided by API
29,,824354604,409201541,Seed App External ID provided by API
30,,825327970,409201541,Seed App External ID provided by API
31,,826190965,409201541,Seed App External ID provided by API
32,,826468311,409201541,Seed App External ID provided by API
33,,826916744,409201541,Seed App External ID provided by API
34,,827552251,409201541,Seed App External ID provided by API
35,,828074138,409201541,Seed App External ID provided by API
36,,828354304,409201541,Seed App External ID provided by API
37,,828625630,409201541,Seed App External ID provided by API
38,,829038251,409201541,Seed App External ID provided by API
39,,829899018,409201541,Seed App External ID provided by API
40,,829950779,409201541,Seed App External ID provided by API
41,,830587915,409201541,Seed App External ID provided by API
42,,830786372,409201541,Seed App External ID provided by API
43,,831824296,409201541,Seed App External ID provided by API
44,,832744494,409201541,Seed App External ID provided by API
45,,832990890,409201541,Seed App External ID provided by API
46,,833618435,409201541,Seed App External ID provided by API
47,,834520398,409201541,Seed App External ID provided by API
48,,835353995,409201541,Seed App External ID provided by API
49,,836428233,409201541,Seed App External ID provided by API
50,,836782222,409201541,Seed App External ID provided by API
51,,837516317,409201541,Seed App External ID provided by API
52,,837910050,409201541,Seed App External ID provided by API
53,,838147049,409201541,Seed App External ID provided by API
54,,838252407,409201541,Seed App External ID provided by API
55,10.3.5,839050932,409201541,Crash log: https://forum.italiamac.it/topic/558193-problema-con-pages/ (also Apple Communities threads show same)
56,,839234809,409201541,Seed App External ID provided by API
57,,840045806,409201541,Seed App External ID provided by API
58,,840522669,409201541,Seed App External ID provided by API
59,,840877054,409201541,Seed App External ID provided by API
60,,841030096,409201541,Seed App External ID provided by API
61,11.1,842170573,409201541,Crash log: https://apple.stackexchange.com/questions/422411/apple-pages-quits-unexpectedly-when-opening-a-specific-file
62,,842469687,409201541,Seed App External ID provided by API
63,,843867905,409201541,Seed App External ID provided by API
64,,844362711,409201541,Seed App External ID provided by API
65,,847847055,409201541,Seed App External ID provided by API
66,,848231399,409201541,Seed App External ID provided by API
67,,848353041,409201541,Seed App External ID provided by API
68,,849061576,409201541,Seed App External ID provided by API
69,,850349423,409201541,Seed App External ID provided by API
70,,851431199,409201541,Seed App External ID provided by API
71,,852260142,409201541,Seed App External ID provided by API
72,,852972882,409201541,Seed App External ID provided by API
73,,853646094,409201541,Seed App External ID provided by API
74,,854029666,409201541,Seed App External ID provided by API
75,,855174458,409201541,Seed App External ID provided by API
76,,856200348,409201541,Seed App External ID provided by API
77,,856356559,409201541,Seed App External ID provided by API
78,,857328833,409201541,Seed App External ID provided by API
79,,857401961,409201541,Seed App External ID provided by API
80,,857811562,409201541,Seed App External ID provided by API
81,,859716074,409201541,Seed App External ID provided by API
82,,860196736,409201541,Seed App External ID provided by API
83,,863127416,409201541,Seed App External ID provided by API
84,,863430578,409201541,Seed App External ID provided by API
85,,863867279,409201541,Seed App External ID provided by API
86,,863993369,409201541,Seed App External ID provided by API
87,,864265410,409201541,Seed App External ID provided by API
88,,864989101,409201541,Seed App External ID provided by API
89,,865139065,409201541,Seed App External ID provided by API
90,,865813894,409201541,Seed App External ID provided by API
91,,866313353,409201541,Seed App External ID provided by API
92,14.2,866884087,409201541,Crash log: https://discussions.apple.com/thread/255784493
93,,869101980,409201541,Seed App External ID provided by API
94,,869633787,409201541,Seed App External ID provided by API
95,,871103752,409201541,Seed App External ID provided by API
96,,872219339,409201541,Seed App External ID provided by API
97,14.4,873302190,409201541,Crash log: https://discussions.apple.com/thread/256043964
